age,sex,race_ethnicity,household_income,n
31,1,3,below_median,1
31,1,4,above_median,1
31,1,4,below_median,1
31,1,5,above_median,1
31,1,5,below_median,1
31,2,1,above_median,1
31,2,1,below_median,1
31,2,2,above_median,1
31,2,2,below_median,1
31,2,3,above_median,1
31,2,3,below_median,1
31,2,4,above_median,1
31,2,4,below_median,1
31,2,5,above_median,1
31,2,5,below_median,1
32,1,1,above_median,1
32,1,1,below_median,1
32,1,2,above_median,1
32,1,2,below_median,1
32,1,3,above_median,1
32,1,3,below_median,1
32,1,4,above_median,1
32,1,4,below_median,1
32,1,5,above_median,1
32,1,5,below_median,1
32,2,1,above_median,1
32,2,1,below_median,1
32,2,2,above_median,1
32,2,2,below_median,1
32,2,3,above_median,1
32,2,3,below_median,1
32,2,4,above_median,1
32,2,4,below_median,1
32,2,5,above_median,1
32,2,5,below_median,1
33,1,1,above_median,1
33,1,1,below_median,1
33,1,2,above_median,1
33,1,2,below_median,1
33,1,3,above_median,1
33,1,3,below_median,1
33,1,4,above_median,1
33,1,4,below_median,1
33,1,5,above_median,1
33,1,5,below_median,1
33,2,1,above_median,1
33,2,1,below_median,1
33,2,2,above_median,1
33,2,2,below_median,1
33,2,3,above_median,1
33,2,3,below_median,1
33,2,4,above_median,1
33,2,4,below_median,1
33,2,5,above_median,1
33,2,5,below_median,1
34,1,1,above_median,1
34,1,1,below_median,1
34,1,2,above_median,1
34,1,2,below_median,1
34,1,3,above_median,1
34,1,3,below_median,1
34,1,4,above_median,1
34,1,4,below_median,1
34,1,5,above_median,1
34,1,5,below_median,1
34,2,1,above_median,1
34,2,1,below_median,1
34,2,2,above_median,1
34,2,2,below_median,1
34,2,3,above_median,1
34,2,3,below_median,1
34,2,4,above_median,1
34,2,4,below_median,1
34,2,5,above_median,1
34,2,5,below_median,1
35,1,1,above_median,1
35,1,1,below_median,1
35,1,2,above_median,1
35,1,2,below_median,1
35,1,3,above_median,1
35,1,3,below_median,1
35,1,4,above_median,1
35,1,4,below_median,1
35,1,5,above_median,1
35,1,5,below_median,1
35,2,1,above_median,1
35,2,1,below_median,1
35,2,2,above_median,1
35,2,2,below_median,1
35,2,3,above_median,1
35,2,3,below_median,1
35,2,4,above_median,1
35,2,4,below_median,1
35,2,5,above_median,1
35,2,5,below_median,1
36,1,1,above_median,1
36,1,1,below_median,1
